연번,업소명,소재지도로명,소재지지번,업태명,영업장면적
23,우화,"서울특별시 서초구 서초대로78길 36, (서초동, B101호 일부)",서울특별시 서초구 서초동  1327번지 13호  B101호 일부,한식,277.93
24,스시타노,"서울특별시 서초구 서래로5길 30, 2층 (반포동)",서울특별시 서초구 반포동  107번지 32호  2층,한식,165.64
25,시골집,"서울특별시 서초구 반포대로10길 7, 1층 (서초동)",서울특별시 서초구 서초동  1459번지 11호  1층,한식,147.72
26,한우다이닝울릉(HANWOODINING ULLEUNG),"서울특별시 서초구 서운로 135, 1층,2층 (서초동)","서울특별시 서초구 서초동  1322번지 11호  1층,2층",한식,532.4
27,서관면옥 교대본점,"서울특별시 서초구 서초대로56길 11, 1층 (서초동)",서울특별시 서초구 서초동  1675번지 5호  1층,한식,152.24
28,바른식 시골보쌈 앤 옹심이,"서울특별시 서초구 서초대로52길 17, 1층,2층 (서초동)",서울특별시 서초구 서초동  1658번지 1호  1층 2층,한식,332.85
29,공리,"서울특별시 서초구 반포대로7길 7, 1층 (서초동)",서울특별시 서초구 서초동  1462번지 1호  1층,중국식,108.13
30,공항칼국수 서초점,"서울특별시 서초구 반포대로30길 53, 조광빌딩 지하1층 (서초동)",서울특별시 서초구 서초동  1572번지 15호  조광빌딩 지하1층,한식,250.24
31,원할머니 보쌈 족발 박가 부대찌개 반포점,"서울특별시 서초구 서초중앙로 238, 삼호가든쇼핑센타 지하중층 (반포동)",서울특별시 서초구 반포동  30번지 25호  삼호가든쇼핑센타 지하중층,한식,104
32,소진상,"서울특별시 서초구 서래로 50, 한영빌딩 2층 (반포동)",서울특별시 서초구 반포동  93번지 7호  한영빌딩,경양식,240.85
33,방이옥 사당역,"서울특별시 서초구 방배천로2안길 7, 1층 (방배동)",서울특별시 서초구 방배동  450번지 26호  ,한식,158.18
34,만강홍 교대본점,"서울특별시 서초구 서초중앙로22길 46, 1층 (서초동)",서울특별시 서초구 서초동  1669번지 8호  1층,중국식,198
35,교대 평상집,"서울특별시 서초구 서초대로50길 24, 청화빌딩 3층 (서초동)",서울특별시 서초구 서초동  1571번지 18호  3층,한식,232.88
36,강남역 모범갈빗살,"서울특별시 서초구 서초대로73길 40, 104호 (서초동, 강남오피스텔)",서울특별시 서초구 서초동  1308번지 25호  강남오피스텔-104,한식,158.62
37,개성손만두요리전문점 방배점,"서울특별시 서초구 동광로19길 5, 1층 (방배동)",서울특별시 서초구 방배동  793번지 21호  외 1필지 1층,한식,112.2
38,아기다람쥐,"서울특별시 서초구 서초대로 3-4, 1층 109-1호 (방배동, 방배디오슈페리움Ⅰ)",서울특별시 서초구 방배동  3001번지 2호  방배디오슈페리움Ⅰ 제1층 제109-1호,한식,113.03
39,평안도식당 교대지점,"서울특별시 서초구 법원로2길 14, 1층 (서초동)",서울특별시 서초구 서초동  1715번지 2호  1층,한식,99.1
40,선화의 고기,"서울특별시 서초구 서초대로24길 9, 1층 (방배동)",서울특별시 서초구 방배동  936번지 4호  1층,한식,111.54
41,사쿠,"서울특별시 서초구 나루터로15길 11, 대영빌딩 1층 (잠원동)",서울특별시 서초구 잠원동  14번지 9호  대영빌딩 1층,한식,79.38
42,공리특허짬뽕,"서울특별시 서초구 방배로26길 8, (방배동)",서울특별시 서초구 방배동  875번지 22호  (1층?),중국식,114.68
43,명인등심,"서울특별시 서초구 서초대로 87, 1층 (방배동)",서울특별시 서초구 방배동  872번지 4호  1층,한식,96.66
